student_id,age,gender,education_level,previous_courses,videos_watched,assignments_completed,forum_posts,quiz_scores_avg,time_spent_hours,login_frequency,days_active,certification_goal,completed
38,54,Female,PhD,15,81,7,49,63.47569195598196,196.78349897095447,70,26,0,1
39,24,Other,Bachelor,3,87,11,36,8.139408800789404,22.710128561547616,41,61,1,1
40,38,Other,PhD,5,31,12,8,11.469389211478298,198.46493080268985,59,17,0,0
41,26,Male,PhD,4,72,14,0,37.6925963925108,20.71118327416883,71,73,1,1
42,56,Male,High School,15,46,11,3,74.37577621410098,83.09035473581751,78,69,1,1
43,35,Other,PhD,15,87,11,6,83.29182781286299,47.789514030890736,57,29,1,1
44,21,Male,PhD,9,62,5,10,1.4624043010017407,190.76919268103825,79,63,1,1
45,42,Other,Bachelor,8,25,3,13,32.90105773074007,127.15798695982829,71,6,1,0
46,31,Other,PhD,3,2,11,41,42.4261863628575,119.42550676468835,99,59,0,0
47,26,Male,Bachelor,13,22,2,18,91.11328107904566,199.48770097746532,95,21,1,0
48,43,Male,PhD,3,74,10,39,50.140655770944285,122.48522077815079,80,45,1,1
49,19,Female,PhD,11,73,5,2,26.970076524568377,129.23197618720675,99,45,0,0
50,37,Female,Master,9,49,0,7,39.00470651638448,8.954859859351805,21,87,0,0
51,45,Female,PhD,3,35,1,28,43.64344414947472,171.81012040670745,95,35,1,0
52,64,Other,Bachelor,17,12,6,49,66.99958735292785,194.01788634842478,57,52,1,1
53,24,Male,Bachelor,12,28,14,36,4.108778296742521,192.0622301047373,10,46,0,1
54,61,Other,High School,12,37,3,42,38.94516630243503,44.22112190761376,5,66,0,0
55,25,Male,High School,13,76,4,8,64.65546369144514,45.183068794031826,21,57,1,1
56,64,Other,Master,17,89,14,18,28.332231536439746,73.20942504263563,77,42,0,0
57,52,Female,Bachelor,0,83,10,11,59.17510066641542,62.04201418351338,91,73,1,1
58,31,Female,Bachelor,15,4,9,26,35.72789301040441,61.12292947949911,11,77,1,1
59,34,Female,Bachelor,14,19,0,36,75.87208675067755,121.04334342701826,26,16,0,0
60,53,Other,Master,4,77,1,47,6.059769646249347,161.12160136738996,0,5,1,0
61,57,Male,Bachelor,5,13,3,24,91.79619807013563,187.35363213492002,63,1,1,1
62,21,Male,High School,5,7,7,44,17.161254794897562,13.572095715466471,73,22,1,0
63,19,Female,Master,2,47,9,37,15.854708674934914,55.59569527682302,96,48,1,0
64,23,Female,High School,15,12,3,47,84.06429447732125,51.00275468859099,79,26,1,0
65,59,Female,High School,11,23,13,49,86.92829230238887,71.48793271476744,38,34,1,1
66,21,Female,Master,3,78,2,16,9.297331344580028,84.8668526229142,59,58,1,0
67,46,Male,PhD,0,64,2,43,90.87189280149103,77.83429434060434,69,85,1,1
68,35,Other,PhD,3,85,11,32,27.329786672897626,190.42944187624,53,7,0,0
69,43,Other,High School,0,33,4,38,61.86216854080555,87.42581121687716,24,25,1,0
70,61,Other,PhD,7,50,2,13,6.859349040789575,110.31851421697158,19,57,1,0
71,51,Other,Bachelor,4,2,7,27,38.0661101128201,149.72665609718132,35,12,0,0
72,27,Female,Master,1,89,4,17,45.072460910453785,145.0169593973043,22,31,1,1
73,53,Female,High School,11,77,11,32,59.98265693563105,116.59291333891375,79,27,1,1
74,31,Female,Bachelor,16,57,13,41,52.52719714144657,172.16640469983798,0,86,0,1
75,48,Other,PhD,6,71,11,14,46.149296149159255,124.83626178816556,93,34,0,0
76,32,Female,Bachelor,10,54,13,10,95.96402117655879,174.9517694777199,26,81,0,1
77,25,Female,PhD,3,79,6,35,18.502277698775917,60.55315011650075,51,75,1,1
78,31,Male,High School,4,41,10,14,15.799423064666819,26.40473538266712,1,34,1,0
79,40,Male,Bachelor,5,20,7,47,71.34190609006717,163.90409130985384,20,37,1,1
80,57,Female,Master,10,9,4,29,7.455188487023213,76.50358159498187,8,58,1,0
81,38,Male,High School,0,56,7,14,48.28914559942768,130.21691432824804,87,60,1,1
82,33,Male,Bachelor,9,24,11,48,48.405311915220715,147.46223929391866,47,26,1,0
83,62,Female,Bachelor,19,55,14,22,31.002533095909136,65.34209508544978,38,45,1,0
84,35,Female,PhD,10,37,2,42,93.04437416801977,101.03267771400782,41,45,1,1
85,64,Female,High School,16,85,14,49,28.254343509601142,178.9853030279008,70,32,0,1
86,41,Female,High School,7,60,13,47,28.844195223824652,175.95864704769437,93,69,0,1
87,43,Other,High School,12,46,11,14,23.429996422372113,149.8714155025529,44,84,0,1
88,42,Other,High School,19,53,6,28,14.578803522056305,152.54790638870048,1,71,0,1
89,62,Female,PhD,17,45,7,10,36.40110553484528,179.5368898162664,75,23,1,0
90,58,Male,Master,15,67,6,44,68.08872600004301,147.26647745798323,76,65,1,1
91,46,Female,High School,1,3,13,17,74.21628627707558,67.91707186069908,66,39,1,1
92,32,Female,PhD,4,93,1,39,81.3418916430681,24.15653592800373,42,67,0,1
93,62,Male,Master,17,65,7,30,19.75438885315586,84.37681999494745,17,45,1,0
94,18,Other,Master,2,92,5,8,3.563268823972976,17.468683170735268,38,67,1,0
95,42,Female,PhD,16,42,9,21,97.46858584883918,23.154155398157684,5,63,1,1
96,24,Female,High School,15,61,2,10,1.4332519286428536,190.0344185673139,41,70,0,0
97,26,Other,Master,5,99,3,16,96.06788379580586,135.17739212049796,51,54,1,1
98,41,Other,High School,18,84,6,32,82.88144187117999,170.32174009405983,26,27,0,1
99,18,Male,High School,6,84,2,10,91.20747610251365,128.57983865469814,78,79,1,1
100,61,Other,Bachelor,17,84,0,38,38.7185712611146,83.70800568001422,14,36,1,0
101,25,Other,High School,13,3,5,7,19.72019988510333,5.0317564923165525,18,5,1,0
102,41,Other,Bachelor,5,64,2,3,60.646368517556496,191.16740739500747,61,67,1,1
103,28,Male,Master,7,61,10,35,74.12511707164869,14.186494410516248,63,51,0,1
104,34,Other,PhD,14,89,14,18,13.086106632466056,122.03261320396652,50,89,0,1
105,25,Other,Bachelor,14,1,9,23,79.7621514684534,20.440642346103076,46,32,1,0
106,52,Male,PhD,14,8,5,40,20.859332001255794,56.82953571791367,56,21,1,0
107,52,Other,Master,15,56,9,48,49.167729290846,37.163491459758944,19,17,0,0
108,50,Other,High School,0,44,11,17,85.64824498781529,110.74338303177535,19,73,1,1
109,22,Male,Master,10,17,2,32,19.342451104269255,177.41506902442,81,26,0,0
110,59,Female,PhD,4,47,5,45,24.18846479827875,127.12446155954322,63,22,0,0
111,56,Male,Master,4,41,10,35,6.277115649919152,132.83760390125212,97,41,0,0
112,58,Other,High School,5,40,3,9,14.661411178313044,181.78629924266053,98,59,1,0
113,45,Other,Master,1,74,12,13,14.652581978136869,149.88504559422105,37,87,1,1
114,24,Other,High School,5,88,3,6,20.34275021541375,173.19116727680654,37,75,1,1
115,26,Male,Bachelor,13,89,9,11,28.62003970649839,83.27841837197307,64,10,0,0
116,25,Other,PhD,10,57,9,21,81.49833644785409,173.07126755442403,75,87,0,1
117,29,Other,High School,3,99,10,26,91.57638641811174,129.1722777131689,4,5,1,1
118,51,Male,High School,8,41,1,47,40.628060922895024,27.121556548267623,63,55,0,0
119,50,Female,Master,2,34,13,36,12.820895198831083,7.742501673413216,26,26,0,0
120,40,Female,Bachelor,15,37,3,10,22.380992509553067,48.806882737156876,19,4,1,0
121,41,Other,High School,10,66,10,35,73.62059768552255,75.66992976533824,59,27,1,1
122,54,Male,Bachelor,3,40,11,12,67.74255192128898,167.51357321617135,39,58,1,1
123,52,Other,Bachelor,0,98,3,31,96.72073016056905,148.24891140505935,82,3,0,0
124,61,Male,Master,15,49,10,7,1.4488680595083236,191.07514556138352,78,50,1,1
125,57,Male,High School,18,85,6,6,75.07587602823568,111.8349597493012,5,26,1,1
126,39,Female,Master,15,71,4,42,50.57936004529816,149.5483303215989,72,18,1,0
127,44,Female,PhD,10,78,7,42,90.26929779224592,55.056677048524946,35,7,0,0
128,52,Male,PhD,7,44,6,16,57.616667412686695,135.91557857906142,86,45,1,1
129,18,Other,High School,0,70,9,21,44.66677244614154,141.23024050725724,73,13,1,0
130,52,Female,Bachelor,8,18,8,45,66.58506094929947,169.68306568391225,64,6,0,0
131,54,Other,High School,11,16,7,33,83.35234421809976,107.28070217501676,10,35,1,0
132,64,Female,High School,7,64,14,19,28.249855017285196,129.8010295190354,48,53,1,1
133,31,Female,PhD,16,92,8,7,10.752704378425793,40.609762020979765,83,68,1,1
134,20,Other,PhD,9,76,0,21,43.30181183193205,147.35181802529027,27,42,0,0
135,18,Female,Bachelor,6,55,9,26,21.45198728117286,167.68234452802704,21,4,0,0
136,22,Female,Bachelor,18,92,12,33,42.95411753952091,118.74754923728328,83,60,1,1
137,43,Other,High School,5,40,11,20,99.104817279895,23.134892474839642,46,45,1,1
138,31,Female,Master,18,41,2,14,57.41220937740219,62.5714712623886,79,72,1,1
139,56,Female,High School,17,5,4,4,69.36002228467437,95.102930202258,65,75,1,1
140,44,Female,Bachelor,14,68,8,37,67.79284224614184,135.43247828056684,24,66,1,1
141,26,Other,Master,1,97,7,16,82.07008362860635,64.06542157304509,90,82,1,1
142,32,Male,PhD,13,74,13,7,94.41285990153796,168.05821026782283,66,82,0,1
143,32,Other,Bachelor,9,72,9,18,65.88180982080534,74.35795827308071,86,22,1,1
144,43,Male,Bachelor,15,39,6,4,47.60946447532082,8.567269589392158,31,12,1,0
145,59,Female,Master,6,40,1,22,31.783094641791145,158.798883333967,16,81,0,1
146,30,Male,Bachelor,7,8,14,18,36.02743001238671,128.84463390220824,39,51,0,0
147,49,Other,Bachelor,9,7,10,13,33.448060812405664,160.39129894613953,83,17,0,0
148,56,Other,Bachelor,14,43,5,9,32.44654912738899,69.7779626533787,29,36,1,0
149,49,Female,Bachelor,7,57,3,30,69.46250043820943,3.526038430529166,58,49,1,1
150,21,Male,Bachelor,12,66,4,12,58.77090299518641,14.750584731565585,27,16,1,0
151,47,Female,Bachelor,11,12,13,21,20.199504491772625,22.360156140165444,46,75,1,0
152,54,Female,Bachelor,7,18,4,36,96.96260191661959,161.02951563114033,22,44,1,1
153,40,Other,Bachelor,14,97,12,38,42.77255153543192,60.28695087203146,82,22,1,0
154,56,Male,PhD,11,95,3,9,56.60864010680784,199.57970188449255,56,8,1,0
155,62,Male,Bachelor,10,48,3,30,70.26009667897627,151.67767929937705,88,18,0,0
156,32,Male,PhD,18,79,14,42,61.367737667689546,120.23099061804636,87,80,1,1
157,60,Male,PhD,13,99,3,34,31.105176909560083,196.72388239928495,0,84,1,1
158,46,Female,High School,17,81,10,12,79.77065734873767,63.26183766330358,91,72,0,1
159,53,Female,High School,12,77,1,29,11.015363957962688,33.12311382423423,28,38,0,0
160,30,Other,PhD,3,29,0,33,56.89958347036714,147.45459393026306,49,29,1,0
161,49,Female,PhD,16,65,11,35,27.331722301410068,55.61667575792833,63,77,0,1
162,24,Female,Bachelor,18,76,1,34,61.57623676730183,192.20738561335145,98,81,1,1
163,39,Other,High School,8,90,6,46,21.799348108436977,197.6138624500342,80,81,1,1
164,45,Other,Master,6,58,11,3,77.21996552093383,185.28087900507074,74,73,0,1
165,19,Other,High School,0,52,0,3,22.75363312658326,188.95235258190894,36,2,1,0
166,59,Female,PhD,6,51,5,46,89.03921349668326,123.130963483272,60,59,1,1
167,62,Female,PhD,6,80,3,5,86.15549046702311,138.423729913726,6,42,0,0
168,23,Other,Bachelor,19,30,1,27,36.23934520138113,18.849231554538882,89,88,1,1
169,45,Other,Bachelor,6,14,14,29,38.582028887402586,152.61003194573777,86,21,1,0
170,45,Other,High School,7,19,14,26,70.15034576874905,40.41267261537889,63,2,0,0
171,61,Female,Bachelor,15,4,2,4,9.037353797248393,168.06521194087657,17,5,0,0
172,61,Female,Master,2,6,6,43,8.091941217567932,192.30636412220028,28,17,1,0
173,37,Male,Master,12,17,5,38,13.632419683394314,42.475525833094665,97,24,1,0
174,47,Female,Bachelor,9,55,14,34,56.24753354498523,15.606223521124264,59,8,1,0
175,28,Female,Master,17,74,14,38,14.900230483109322,96.77802785357797,53,30,0,0
176,45,Female,Master,6,95,5,43,27.76172817729814,158.30987438966181,71,50,1,1
177,42,Other,High School,4,90,7,14,64.6911407540208,154.12803398870457,20,22,0,0
178,56,Female,Master,6,89,7,18,1.5623777836715536,139.36370113131684,20,59,1,1
179,50,Other,PhD,16,44,5,29,18.023660795346984,164.13919804694822,57,24,1,0
180,18,Male,PhD,3,27,0,37,92.99306628757037,34.997670519030535,48,26,1,0
181,44,Male,High School,15,49,9,31,66.3577623408713,130.38755157718919,35,61,0,1
182,30,Other,Bachelor,18,1,12,39,30.555111422321346,121.13586317952996,16,8,1,0
183,58,Other,High School,9,83,6,28,4.53034240611686,30.686344751938634,79,12,0,0
184,20,Other,Bachelor,2,67,7,5,58.604880841242704,82.88541412770954,52,14,0,0
185,56,Female,Bachelor,2,76,4,25,22.28663098924406,170.5059438619095,14,30,1,1
186,23,Male,Bachelor,16,23,12,26,96.01754387183333,194.36036080963197,78,55,1,1
187,25,Other,Bachelor,9,47,10,34,68.69609549868446,133.08603551547037,39,61,1,1
188,44,Female,Bachelor,16,44,3,27,97.41238863461061,184.3882083972489,80,62,1,1
189,26,Male,High School,16,92,6,4,84.88988974115668,26.409846116683468,50,31,1,1
190,54,Female,Bachelor,3,57,11,40,48.30274151905406,195.01210512858944,64,27,1,1
191,50,Male,Master,5,35,11,47,66.95631476541436,6.701299836142693,12,1,1,0
192,59,Female,Master,11,1,10,15,81.21071955393,105.45185469422029,37,41,1,1
193,61,Male,Bachelor,19,17,12,40,57.81784816626232,58.201665894163824,73,14,1,0
194,41,Male,Master,16,48,5,17,6.14875009682192,162.78182135696187,96,74,1,1
195,32,Female,PhD,16,7,11,12,47.04463138736311,43.50872641950214,25,50,1,1
196,49,Other,High School,9,57,5,42,13.05733307866399,2.3060073466277586,75,42,1,0
197,49,Male,High School,6,14,13,24,71.48467752101705,82.92189184723864,82,71,0,1
198,41,Other,Bachelor,15,16,2,9,68.0628915637602,12.821599533288964,14,40,0,0
199,58,Female,Bachelor,12,22,10,28,99.29081920521135,58.01851383754981,4,14,1,0
200,29,Other,PhD,2,65,9,9,62.88098017941077,128.74953833333964,1,11,1,1
201,56,Other,Bachelor,1,69,14,5,80.01379423839417,58.940635323313195,77,63,1,1
202,19,Other,Master,15,92,3,15,26.828785088883254,49.15864546424653,92,49,0,0
203,20,Other,PhD,5,26,4,24,34.00241352959797,31.099132614067916,64,37,1,0
204,54,Other,Master,5,36,8,43,91.70242523778373,27.034454816903676,76,10,0,0
205,34,Male,High School,12,48,7,3,75.5192259625745,105.17147463628385,59,54,1,1
206,19,Male,Master,6,63,2,36,65.52691747976377,136.30140458869428,95,7,0,0
207,19,Male,High School,4,33,5,33,25.402769258304026,90.54664114712712,97,81,1,1
208,45,Female,Master,6,17,9,18,69.85779287251651,24.7206198095701,55,12,1,0
209,40,Other,High School,1,63,0,32,88.67636450419512,129.55125990430525,77,55,1,1
210,54,Male,Bachelor,16,73,2,3,23.079765489465643,111.42437966432763,37,36,1,0
211,49,Female,Master,12,43,9,43,70.61239479158232,76.2550910530894,56,7,1,0
212,50,Male,High School,15,16,13,33,39.36939533975087,66.0093754252027,50,24,1,0
213,18,Male,Master,19,58,11,11,11.876741294061999,36.6305782300284,40,34,1,0
214,36,Other,PhD,1,12,6,30,76.3460676533682,29.25989176629138,78,65,1,0
215,19,Female,Bachelor,4,51,6,15,16.71367891843364,67.75433889373987,69,29,1,0
216,61,Other,High School,17,59,1,1,25.289627349037136,8.326224820691053,92,26,1,0
217,43,Other,PhD,6,41,2,48,78.29420408786922,87.32548256026146,82,74,0,1
218,49,Male,Master,10,90,14,1,74.21327856246376,120.31478585698719,51,65,1,1
219,23,Other,PhD,10,63,6,35,25.4183066044395,188.33085505857815,0,45,1,1
220,49,Female,Master,16,65,11,5,94.09646143463672,125.16562865554741,84,17,1,1
221,21,Other,Bachelor,15,33,5,22,21.52852250771915,124.81520937117996,17,36,1,0
222,28,Other,PhD,12,94,12,38,99.36222149640324,74.88296112072112,26,73,0,1
223,34,Other,Bachelor,4,86,6,46,73.78998719514395,26.66343125621018,91,63,1,1
224,55,Male,High School,19,70,9,43,39.25076905514027,89.38753065116845,71,23,1,0
225,41,Female,Master,15,63,8,36,13.034920666248395,119.7352638135028,94,66,1,1
226,22,Male,Master,15,32,7,45,32.05099551596137,144.8067193311608,75,82,1,1
227,51,Male,Bachelor,15,11,5,15,19.373851146504872,165.21735477908618,41,42,0,0
228,23,Male,Bachelor,13,75,11,42,62.18395864940193,51.1856184136243,5,71,1,1
229,39,Male,High School,5,18,13,43,35.68551531379567,48.24401504557749,89,75,1,1
230,28,Male,PhD,1,8,3,18,29.5007261243857,113.05997262090361,79,71,0,0
231,33,Female,Master,13,73,13,48,75.71331917183721,113.20303662688586,93,43,1,1
232,50,Other,Master,15,16,12,23,23.05994348501831,43.589559340554864,82,88,1,1
233,26,Male,High School,19,49,9,26,58.688931742550466,117.49506207025462,81,55,1,1
234,23,Male,High School,12,38,8,6,19.459609282354563,69.17576999487898,23,56,0,0
235,33,Female,Bachelor,14,40,6,29,71.47986077330955,127.86298377572658,44,79,1,1
236,46,Female,Bachelor,11,9,4,40,62.51214837525967,58.20894273444033,83,31,0,0
237,20,Other,PhD,8,11,1,13,79.8153515177031,118.45835841431528,70,83,1,1
238,37,Female,High School,17,78,8,43,6.849707476267897,153.66200824738462,6,56,1,1
239,53,Other,PhD,13,94,13,14,21.01054495050215,196.0317551403876,15,74,1,1
240,36,Male,High School,19,14,6,11,15.446036055346568,182.21361129435144,57,48,1,0
241,43,Male,Master,3,27,8,28,19.056124028573663,100.70774946549047,56,52,1,1
242,20,Other,High School,7,3,10,22,10.301407913805072,97.66981666352362,41,72,1,1
243,36,Female,High School,7,35,8,12,56.20819014360728,87.54000118714976,13,1,1,0
244,37,Other,Master,15,64,9,8,59.343140705055454,5.550119597727687,55,2,1,0
245,49,Female,High School,9,97,4,23,84.34897555940103,33.19089949725233,11,42,1,1
246,24,Male,PhD,16,46,6,38,41.773817644376265,11.837817660811156,92,74,1,1
247,58,Female,Bachelor,0,80,4,29,53.23847130744477,139.27101695506417,14,9,1,1
248,50,Other,Bachelor,17,38,14,0,99.13040594111109,82.6469300436331,7,31,1,1
249,57,Other,PhD,9,37,2,9,53.18450833591791,12.753975613081913,57,2,1,0
250,56,Male,Master,3,43,9,37,57.357608775201605,138.115015530774,52,24,1,1
251,35,Female,High School,0,50,7,46,99.5917414877384,128.88717256558877,8,43,1,1
252,57,Female,PhD,3,96,7,14,99.41293814497726,143.99256613809942,45,70,1,1
253,18,Female,Bachelor,3,84,8,8,42.4030445597287,119.96682355231383,91,72,0,1
254,28,Male,Bachelor,3,25,10,12,63.494682960296444,32.30791198945682,90,89,1,1
255,45,Female,PhD,16,35,13,22,48.08025078372532,12.278459548433762,6,43,1,0
256,42,Other,Bachelor,8,68,11,32,72.07154516572002,163.42819404540745,43,51,1,1
257,40,Female,PhD,18,96,5,8,93.83865211333915,43.1617997931732,13,89,1,1
258,48,Male,Bachelor,12,0,1,2,30.965930837327328,108.5058480948366,74,46,1,0
259,47,Female,PhD,3,52,2,29,81.88751704389414,97.04340294643742,95,75,1,1
260,59,Female,High School,4,5,12,8,65.484893277598,184.21050808730283,91,1,1,0
261,52,Other,High School,12,36,10,24,28.01848012742173,110.48795217085967,5,87,0,0
262,24,Female,High School,15,1,11,46,79.72996581819936,116.00337707743013,34,67,1,1
263,33,Other,High School,4,68,9,23,42.71330191975715,63.90100674316255,69,1,1,0
264,43,Other,Bachelor,7,89,10,31,12.039717548129492,191.73894035373223,60,63,1,1
265,19,Male,Master,15,40,14,6,99.34163572758094,122.47476314784693,23,76,1,1
266,18,Other,PhD,0,50,5,35,42.56463329723189,0.996076718251615,72,62,1,0
267,29,Other,Master,5,46,0,24,54.15525473761613,111.21645274699266,1,61,1,1
268,22,Male,Bachelor,10,12,13,19,80.79617307637606,72.77307766104025,77,40,1,1
269,54,Other,Bachelor,15,75,1,16,96.08761351199334,6.422440859766443,50,29,1,0
270,49,Male,Master,4,68,7,35,87.28878499603157,86.30995710141688,30,35,1,1
271,26,Female,Master,15,65,10,25,52.50532078015666,154.71329767572595,93,85,1,1
272,58,Male,Bachelor,6,58,7,18,54.56960755331153,100.75789159127248,26,11,1,0
273,52,Other,Bachelor,18,67,5,36,28.088693660966292,127.89181722799894,99,11,1,0
274,36,Male,PhD,0,58,2,47,46.28028781590837,127.9482931440634,30,63,1,1
275,33,Other,High School,8,90,13,2,94.68388821751473,134.20386049668537,69,69,1,1
276,20,Female,High School,17,9,1,42,72.69409439386563,77.51923891371509,42,56,0,0
277,37,Male,PhD,12,12,12,27,1.1876990741532922,74.000967811369,81,7,1,0
278,41,Female,Master,14,1,5,21,11.650678182274099,0.9169062690550511,51,51,1,0
279,50,Other,Bachelor,2,89,0,46,92.38112699578551,30.844492105784216,13,39,1,1
280,41,Other,Master,9,14,13,18,84.87193289276142,190.16204255631033,58,42,0,1
281,28,Female,High School,8,45,9,45,48.61644657483969,168.48334315764194,19,72,1,1
282,25,Male,High School,12,56,5,15,61.697828086725856,55.0216874779806,51,53,0,0
283,53,Male,Master,15,9,8,5,28.96460103807249,80.23838978515666,74,21,1,0
284,55,Other,High School,2,21,6,36,79.2830752100424,187.98426467692659,39,30,1,1
285,57,Female,Bachelor,14,88,8,30,60.33174468894399,50.088895910715436,67,78,0,1
286,37,Female,PhD,16,78,1,48,69.48257054559151,106.50659385778599,43,1,0,0
287,52,Male,Master,13,76,10,47,37.49098380089979,4.415956811080912,5,24,1,0
288,42,Male,Bachelor,6,7,13,33,43.043800651148054,123.94696727056132,86,6,1,0
289,52,Male,Bachelor,19,20,4,30,20.76820829644568,186.014719634879,56,6,1,0
290,42,Female,High School,15,84,8,10,94.80525429208718,176.94867696800443,57,69,1,1
291,46,Male,Bachelor,7,21,6,35,94.65570203865744,100.39384412550665,71,62,1,1
292,35,Male,Master,3,96,8,5,81.77512472399042,129.9283944554332,29,35,1,1
293,63,Other,Bachelor,19,44,13,26,93.55551191991839,113.9596388026571,99,79,1,1
294,35,Male,PhD,14,90,10,6,66.53280525803787,13.394848830835105,51,35,1,1
295,19,Male,Bachelor,4,39,5,48,23.465186930307482,31.744697375349173,10,48,0,0
296,52,Female,Bachelor,12,21,14,31,76.02105221924911,192.76346295395194,46,72,1,1
297,33,Female,PhD,5,29,6,7,32.52762092417024,51.19373937433465,4,43,0,0
298,58,Other,Bachelor,4,61,9,32,44.04816892984142,76.88984321927987,2,35,1,0
299,53,Male,Bachelor,16,72,4,46,27.43501638553697,101.78886159090143,14,5,1,0
300,50,Other,High School,6,44,5,43,42.36219177212697,195.8264258786683,1,31,0,0
301,21,Female,Master,5,34,0,14,67.9317365656695,137.9987012459553,1,31,1,0
302,50,Other,High School,1,81,0,26,11.061056130502978,125.91969954607305,71,8,1,0
303,31,Female,Master,10,41,1,29,10.520692899301643,104.87999448817187,53,6,0,0
304,38,Other,PhD,6,4,10,21,68.3770012088142,140.13488291891144,45,87,1,1
305,37,Other,PhD,7,26,13,46,77.95811667746075,132.80317810566933,93,53,1,1
306,25,Male,PhD,4,69,3,28,55.1466684712365,180.5681784521964,40,80,0,1
307,24,Other,Master,17,61,10,40,18.164101406746546,108.36706107292453,68,44,0,0
308,20,Male,Master,15,31,8,47,43.07568483609884,84.30051763809796,29,49,0,0
309,34,Male,Master,13,7,6,29,75.81755223840145,161.43240561277426,43,8,1,0
310,50,Male,PhD,11,84,5,1,68.57331015524998,159.95666693736368,9,64,0,1
311,29,Male,Master,16,17,14,14,10.986547781937006,33.96728760241749,96,4,0,0
312,39,Other,Bachelor,4,77,0,46,96.9147180958245,47.35839957129113,87,32,1,0
313,39,Female,High School,13,14,4,26,22.33638808863365,191.72765225994115,82,53,0,0
314,63,Female,PhD,5,25,10,6,22.03895045804547,88.82190767647695,29,67,1,1
315,47,Female,High School,14,52,11,26,45.98572477454559,103.93213930623793,88,63,0,0
316,55,Other,Bachelor,6,43,12,20,32.72431290000485,62.032024915961955,74,80,0,1
317,55,Male,Master,13,31,3,12,98.3985988644394,96.2142045794707,48,60,1,1
318,62,Female,High School,17,27,4,16,7.648977325413197,148.6713214391312,34,77,0,0
319,25,Other,Bachelor,0,38,10,10,30.643919092327753,96.46901949273506,64,33,0,0
320,44,Male,Bachelor,5,31,8,9,38.2722160427296,62.95693599173304,16,22,1,0
321,44,Female,High School,2,76,11,32,49.34589937219405,19.200200878875307,30,31,0,0
